Species,Body,Spine,Colony_ID,Time_Disc,Discovered,Col_Size
P_rastellata,1.88,0.01,A,1,1,79
P_bicolor,1.946,1.441,B,3,1,41
P_armata,4,3.45,C,2,1,45
P_laevigata,1.843,1.3908,D,60,0,16
P_furcata,1.851,2.684,E,1,1,315
P_laevigata,1.843,1.3908,F,0,1,82
P_flavicornis,1.744,0.454,G,4,1,65
P_flavicornis,1.744,0.454,H,60,0,25
P_flavicornis,1.744,0.454,I,60,0,5
P_rastellata,1.88,0.01,J,3,1,26
P_emmae,1.7,1.25,K,11,1,86
P_armata,4,3.45,L,7,1,32
P_armata,4,3.45,M,8,1,51
P_rastellata,1.88,0.01,N,2,1,21
P_armata,4,3.45,O,1,1,92
P_armata,4,3.45,P,1,1,22
P_flavicornis,1.744,0.454,Q,60,0,130
P_flavicornis,1.744,0.454,R,56,1,69
P_furcata,1.851,2.684,S,1,1,105
P_furcata,1.851,2.684,T,9,1,141
P_furcata,1.851,2.684,U,4,1,164
P_flavicornis,1.744,0.454,V,60,0,2
P_flavicornis,1.744,0.454,W,60,0,71
P_flavicornis,1.744,0.454,X,60,0,18
P_laevigata,1.843,1.3908,Y,15,1,38
P_bicolor,1.946,1.441,Z,10,1,37
P_flavicornis,1.744,0.454,AA,36,1,47
P_bicolor,1.946,1.441,BB,1,1,111
P_furcata,1.851,2.684,CC,3,1,473
P_flavicornis,1.744,0.454,DD,60,0,15
P_flavicornis,1.744,0.454,EE,60,0,17
P_flavicornis,1.744,0.454,FF,60,0,24
P_rotoccipita,1.91,0.01,GG,1,1,61
P_leviuscula,2.1,0.2,HH,31,1,6
P_flavicornis,1.744,0.454,II,60,0,92
P_rotoccipita,1.91,0.01,JJ,5,1,71
P_rotoccipita,1.91,0.01,KK,1,1,53
P_bicolor,1.946,1.441,LL,2,1,61
P_furcata,1.851,2.684,MM,1,1,820
P_flavicornis,1.744,0.454,NN,60,0,37
P_flavicornis,1.744,0.454,OO,5,1,20
P_flavicornis,1.744,0.454,PP,60,0,3
P_flavicornis,1.744,0.454,QQ,60,0,22
P_flavicornis,1.744,0.454,RR,60,0,65
P_flavicornis,1.744,0.454,SS,60,0,36
P_flavicornis,1.744,0.454,TT,44,1,36
P_rotoccipita,1.91,0.01,UU,1,1,44
P_laevigata,1.843,1.3908,VV,2,1,30
P_laevigata,1.843,1.3908,WW,58,1,63
P_armata,4,3.45,XX,1,1,55
P_flavicornis,1.744,0.454,YY,60,0,55
P_armata,4,3.45,ZZ,2,1,55
P_laevigata,1.843,1.3908,AAA,2,1,218
P_flavicornis,1.744,0.454,BBB,60,0,189
P_flavicornis,1.744,0.454,CCC,45,1,35
P_laevigata,1.843,1.3908,DDD,1,1,22
P_furcata,1.851,2.684,EEE,42,1,103
P_flavicornis,1.744,0.454,FFF,60,0,23
P_flavicornis,1.744,0.454,GGG,60,0,11
P_armata,4,3.45,HHH,1,1,53
P_flavicornis,1.744,0.454,III,60,0,59
P_furcata,1.851,2.684,JJJ,18,1,247
P_flavicornis,1.744,0.454,KKK,60,0,28
P_leviuscula,2.1,0.2,LLL,16,1,15
P_leviuscula,2.1,0.2,MMM,5,1,17
P_leviuscula,2.1,0.2,NNN,24,1,30
P_rotoccipita,1.91,0.01,OOO,1,1,44
P_flavicornis,1.744,0.454,PPP,60,0,54
P_flavicornis,1.744,0.454,QQQ,60,0,32
P_flavicornis,1.744,0.454,RRR,60,0,92
P_laevigata,1.843,1.3908,SSS,12,1,102
P_laevigata,1.843,1.3908,TTT,1,1,45
P_rufipes,2.05,2.42,UUU,11,1,117
P_furcata,1.851,2.684,VVV,1,1,224
P_laevigata,1.843,1.3908,WWW,32,1,47
P_furcata,1.851,2.684,XXX,1,1,316
P_furcata,1.851,2.684,YYY,2,1,37
P_flavicornis,1.744,0.454,ZZZ,60,0,3
P_laevigata,1.843,1.3908,AAAA,12,1,82
P_laevigata,1.843,1.3908,BBBB,8,1,72
P_laevigata,1.843,1.3908,CCCC,1,1,155
P_laevigata,1.843,1.3908,DDDD,5,1,29
P_bicolor,1.946,1.441,EEEE,2,1,9
P_bicolor,1.946,1.441,FFFF,1,1,34
P_bicolor,1.946,1.441,GGGG,1,1,39
P_armata,4,3.45,HHHH,26,1,43
P_thrinax,2.006,0.223,IIII,60,0,46
P_laevigata,1.843,1.3908,JJJJ,1,1,125
P_laevigata,1.843,1.3908,KKKK,15,1,112
