Species,Body,Spine,Colony_ID,Time_Disc,Discovered,Col_Size
P_bicolor,1.946,1.441,A,3,1,41
P_armata,4,3.45,B,2,1,45
P_laevigata,1.843,1.3908,C,60,0,16
P_furcata,1.851,2.684,D,1,1,315
P_laevigata,1.843,1.3908,E,0,1,82
P_flavicornis,1.744,0.454,F,4,1,65
P_flavicornis,1.744,0.454,G,60,0,25
P_flavicornis,1.744,0.454,H,60,0,5
P_emmae,1.7,1.25,I,11,1,86
P_armata,4,3.45,J,7,1,32
P_armata,4,3.45,K,8,1,51
P_armata,4,3.45,L,1,1,92
P_armata,4,3.45,M,1,1,22
P_flavicornis,1.744,0.454,N,60,0,130
P_flavicornis,1.744,0.454,O,56,1,69
P_furcata,1.851,2.684,P,1,1,105
P_furcata,1.851,2.684,Q,9,1,141
P_furcata,1.851,2.684,R,4,1,164
P_flavicornis,1.744,0.454,S,60,0,2
P_flavicornis,1.744,0.454,T,60,0,71
P_flavicornis,1.744,0.454,U,60,0,18
P_laevigata,1.843,1.3908,V,15,1,38
P_bicolor,1.946,1.441,W,10,1,37
P_flavicornis,1.744,0.454,X,36,1,47
P_bicolor,1.946,1.441,Y,1,1,111
P_furcata,1.851,2.684,Z,3,1,473
P_flavicornis,1.744,0.454,AA,60,0,15
P_flavicornis,1.744,0.454,BB,60,0,17
P_flavicornis,1.744,0.454,CC,60,0,24
P_leviuscula,2.1,0.2,DD,31,1,6
P_flavicornis,1.744,0.454,EE,60,0,92
P_bicolor,1.946,1.441,FF,2,1,61
P_furcata,1.851,2.684,GG,1,1,820
P_flavicornis,1.744,0.454,HH,60,0,37
P_flavicornis,1.744,0.454,II,5,1,20
P_flavicornis,1.744,0.454,JJ,60,0,3
P_flavicornis,1.744,0.454,KK,60,0,22
P_flavicornis,1.744,0.454,LL,60,0,65
P_flavicornis,1.744,0.454,MM,60,0,36
P_flavicornis,1.744,0.454,NN,44,1,36
P_laevigata,1.843,1.3908,OO,2,1,30
P_laevigata,1.843,1.3908,PP,58,1,63
P_armata,4,3.45,QQ,1,1,55
P_flavicornis,1.744,0.454,RR,60,0,55
P_armata,4,3.45,SS,2,1,55
P_laevigata,1.843,1.3908,TT,2,1,218
P_flavicornis,1.744,0.454,UU,60,0,189
P_flavicornis,1.744,0.454,VV,45,1,35
P_laevigata,1.843,1.3908,WW,1,1,22
P_furcata,1.851,2.684,XX,42,1,103
P_flavicornis,1.744,0.454,YY,60,0,23
P_flavicornis,1.744,0.454,ZZ,60,0,11
P_armata,4,3.45,AAA,1,1,53
P_flavicornis,1.744,0.454,BBB,60,0,59
P_furcata,1.851,2.684,CCC,18,1,247
P_flavicornis,1.744,0.454,DDD,60,0,28
P_leviuscula,2.1,0.2,EEE,16,1,15
P_leviuscula,2.1,0.2,FFF,5,1,17
P_leviuscula,2.1,0.2,GGG,24,1,30
P_flavicornis,1.744,0.454,HHH,60,0,54
P_flavicornis,1.744,0.454,III,60,0,32
P_flavicornis,1.744,0.454,JJJ,60,0,92
P_laevigata,1.843,1.3908,KKK,12,1,102
P_laevigata,1.843,1.3908,LLL,1,1,45
P_rufipes,2.05,2.42,MMM,11,1,117
P_furcata,1.851,2.684,NNN,1,1,224
P_laevigata,1.843,1.3908,OOO,32,1,47
P_furcata,1.851,2.684,PPP,1,1,316
P_furcata,1.851,2.684,QQQ,2,1,37
P_flavicornis,1.744,0.454,RRR,60,0,3
P_laevigata,1.843,1.3908,SSS,12,1,82
P_laevigata,1.843,1.3908,TTT,8,1,72
P_laevigata,1.843,1.3908,UUU,1,1,155
P_laevigata,1.843,1.3908,VVV,5,1,29
P_bicolor,1.946,1.441,WWW,2,1,9
P_bicolor,1.946,1.441,XXX,1,1,34
P_bicolor,1.946,1.441,YYY,1,1,39
P_armata,4,3.45,ZZZ,26,1,43
P_thrinax,2.006,0.223,AAAA,60,0,46
P_laevigata,1.843,1.3908,BBBB,1,1,125
P_laevigata,1.843,1.3908,CCCC,15,1,112
