Species,Body,Spine,Time_Bin,Col_ID,Workers,Presence,Col_Size
P_rastellata,1.88,0.01,1,A,1,1,79
P_rastellata,1.88,0.01,2,A,2,1,79
P_rastellata,1.88,0.01,3,A,3,1,79
P_rastellata,1.88,0.01,4,A,2,1,79
P_rastellata,1.88,0.01,5,A,2,1,79
P_rastellata,1.88,0.01,6,A,2,1,79
P_rastellata,1.88,0.01,7,A,1,1,79
P_rastellata,1.88,0.01,8,A,2,1,79
P_rastellata,1.88,0.01,9,A,1,1,79
P_rastellata,1.88,0.01,10,A,1,1,79
P_rastellata,1.88,0.01,11,A,3,1,79
P_rastellata,1.88,0.01,12,A,2,1,79
P_rastellata,1.88,0.01,13,A,4,1,79
P_rastellata,1.88,0.01,14,A,4,1,79
P_rastellata,1.88,0.01,15,A,3,1,79
P_rastellata,1.88,0.01,16,A,1,1,79
P_rastellata,1.88,0.01,17,A,2,1,79
P_rastellata,1.88,0.01,18,A,1,1,79
P_rastellata,1.88,0.01,19,A,3,1,79
P_rastellata,1.88,0.01,20,A,2,1,79
P_rastellata,1.88,0.01,21,A,4,1,79
P_rastellata,1.88,0.01,22,A,2,1,79
P_rastellata,1.88,0.01,23,A,5,1,79
P_rastellata,1.88,0.01,24,A,2,1,79
P_rastellata,1.88,0.01,25,A,3,1,79
P_rastellata,1.88,0.01,26,A,2,1,79
P_rastellata,1.88,0.01,27,A,3,1,79
P_rastellata,1.88,0.01,28,A,2,1,79
P_rastellata,1.88,0.01,29,A,2,1,79
P_rastellata,1.88,0.01,30,A,3,1,79
P_rastellata,1.88,0.01,31,A,3,1,79
P_rastellata,1.88,0.01,32,A,2,1,79
P_rastellata,1.88,0.01,33,A,1,1,79
P_rastellata,1.88,0.01,34,A,1,1,79
P_rastellata,1.88,0.01,35,A,1,1,79
P_rastellata,1.88,0.01,36,A,2,1,79
P_rastellata,1.88,0.01,37,A,4,1,79
P_rastellata,1.88,0.01,38,A,3,1,79
P_rastellata,1.88,0.01,39,A,5,1,79
P_rastellata,1.88,0.01,40,A,2,1,79
P_rastellata,1.88,0.01,41,A,3,1,79
P_rastellata,1.88,0.01,42,A,2,1,79
P_rastellata,1.88,0.01,43,A,1,1,79
P_rastellata,1.88,0.01,44,A,2,1,79
P_rastellata,1.88,0.01,45,A,3,1,79
P_rastellata,1.88,0.01,46,A,1,1,79
P_rastellata,1.88,0.01,47,A,1,1,79
P_rastellata,1.88,0.01,48,A,0,0,79
P_rastellata,1.88,0.01,49,A,1,1,79
P_rastellata,1.88,0.01,50,A,2,1,79
P_rastellata,1.88,0.01,51,A,2,1,79
P_rastellata,1.88,0.01,52,A,2,1,79
P_rastellata,1.88,0.01,53,A,2,1,79
P_rastellata,1.88,0.01,54,A,2,1,79
P_rastellata,1.88,0.01,55,A,3,1,79
P_rastellata,1.88,0.01,56,A,3,1,79
P_rastellata,1.88,0.01,57,A,3,1,79
P_rastellata,1.88,0.01,58,A,5,1,79
P_rastellata,1.88,0.01,59,A,4,1,79
P_rastellata,1.88,0.01,60,A,6,1,79
P_bicolor,1.946,1.441,1,B,0,0,41
P_bicolor,1.946,1.441,2,B,0,0,41
P_bicolor,1.946,1.441,3,B,3,1,41
P_bicolor,1.946,1.441,4,B,3,1,41
P_bicolor,1.946,1.441,5,B,3,1,41
P_bicolor,1.946,1.441,6,B,3,1,41
P_bicolor,1.946,1.441,7,B,4,1,41
P_bicolor,1.946,1.441,8,B,4,1,41
P_bicolor,1.946,1.441,9,B,3,1,41
P_bicolor,1.946,1.441,10,B,3,1,41
P_bicolor,1.946,1.441,11,B,3,1,41
P_bicolor,1.946,1.441,12,B,0,0,41
P_bicolor,1.946,1.441,13,B,1,1,41
P_bicolor,1.946,1.441,14,B,2,1,41
P_bicolor,1.946,1.441,15,B,0,0,41
P_bicolor,1.946,1.441,16,B,2,1,41
P_bicolor,1.946,1.441,17,B,0,0,41
P_bicolor,1.946,1.441,18,B,0,0,41
P_bicolor,1.946,1.441,19,B,0,0,41
P_bicolor,1.946,1.441,20,B,0,0,41
P_bicolor,1.946,1.441,21,B,3,1,41
P_bicolor,1.946,1.441,22,B,6,1,41
P_bicolor,1.946,1.441,23,B,5,1,41
P_bicolor,1.946,1.441,24,B,5,1,41
P_bicolor,1.946,1.441,25,B,3,1,41
P_bicolor,1.946,1.441,26,B,3,1,41
P_bicolor,1.946,1.441,27,B,2,1,41
P_bicolor,1.946,1.441,28,B,2,1,41
P_bicolor,1.946,1.441,29,B,4,1,41
P_bicolor,1.946,1.441,30,B,3,1,41
P_bicolor,1.946,1.441,31,B,3,1,41
P_bicolor,1.946,1.441,32,B,1,1,41
P_bicolor,1.946,1.441,33,B,1,1,41
P_bicolor,1.946,1.441,34,B,1,1,41
P_bicolor,1.946,1.441,35,B,2,1,41
P_bicolor,1.946,1.441,36,B,2,1,41
P_bicolor,1.946,1.441,37,B,1,1,41
P_bicolor,1.946,1.441,38,B,3,1,41
P_bicolor,1.946,1.441,39,B,2,1,41
P_bicolor,1.946,1.441,40,B,1,1,41
P_bicolor,1.946,1.441,41,B,2,1,41
P_bicolor,1.946,1.441,42,B,1,1,41
P_bicolor,1.946,1.441,43,B,0,0,41
P_bicolor,1.946,1.441,44,B,1,1,41
P_bicolor,1.946,1.441,45,B,2,1,41
P_bicolor,1.946,1.441,46,B,3,1,41
P_bicolor,1.946,1.441,47,B,3,1,41
P_bicolor,1.946,1.441,48,B,7,1,41
P_bicolor,1.946,1.441,49,B,2,1,41
P_bicolor,1.946,1.441,50,B,1,1,41
P_bicolor,1.946,1.441,51,B,2,1,41
P_bicolor,1.946,1.441,52,B,2,1,41
P_bicolor,1.946,1.441,53,B,3,1,41
P_bicolor,1.946,1.441,54,B,3,1,41
P_bicolor,1.946,1.441,55,B,1,1,41
P_bicolor,1.946,1.441,56,B,1,1,41
P_bicolor,1.946,1.441,57,B,1,1,41
P_bicolor,1.946,1.441,58,B,1,1,41
P_bicolor,1.946,1.441,59,B,1,1,41
P_bicolor,1.946,1.441,60,B,0,0,41
P_armata,4,3.45,1,C,0,0,45
P_armata,4,3.45,2,C,1,1,45
P_armata,4,3.45,3,C,1,1,45
P_armata,4,3.45,4,C,0,0,45
P_armata,4,3.45,5,C,0,0,45
P_armata,4,3.45,6,C,0,0,45
P_armata,4,3.45,7,C,1,1,45
P_armata,4,3.45,8,C,1,1,45
P_armata,4,3.45,9,C,1,1,45
P_armata,4,3.45,10,C,1,1,45
P_armata,4,3.45,11,C,1,1,45
P_armata,4,3.45,12,C,0,0,45
P_armata,4,3.45,13,C,0,0,45
P_armata,4,3.45,14,C,0,0,45
P_armata,4,3.45,15,C,0,0,45
P_armata,4,3.45,16,C,0,0,45
P_armata,4,3.45,17,C,0,0,45
P_armata,4,3.45,18,C,1,1,45
P_armata,4,3.45,19,C,1,1,45
P_armata,4,3.45,20,C,3,1,45
P_armata,4,3.45,21,C,2,1,45
P_armata,4,3.45,22,C,1,1,45
P_armata,4,3.45,23,C,1,1,45
P_armata,4,3.45,24,C,0,0,45
P_armata,4,3.45,25,C,1,1,45
P_armata,4,3.45,26,C,1,1,45
P_armata,4,3.45,27,C,2,1,45
P_armata,4,3.45,28,C,5,1,45
P_armata,4,3.45,29,C,4,1,45
P_armata,4,3.45,30,C,7,1,45
P_armata,4,3.45,31,C,4,1,45
P_armata,4,3.45,32,C,4,1,45
P_armata,4,3.45,33,C,5,1,45
P_armata,4,3.45,34,C,6,1,45
P_armata,4,3.45,35,C,2,1,45
P_armata,4,3.45,36,C,4,1,45
P_armata,4,3.45,37,C,4,1,45
P_armata,4,3.45,38,C,2,1,45
P_armata,4,3.45,39,C,0,0,45
P_armata,4,3.45,40,C,0,0,45
P_armata,4,3.45,41,C,1,1,45
P_armata,4,3.45,42,C,0,0,45
P_armata,4,3.45,43,C,0,0,45
P_armata,4,3.45,44,C,0,0,45
P_armata,4,3.45,45,C,0,0,45
P_armata,4,3.45,46,C,0,0,45
P_armata,4,3.45,47,C,1,1,45
P_armata,4,3.45,48,C,1,1,45
P_armata,4,3.45,49,C,0,0,45
P_armata,4,3.45,50,C,0,0,45
P_armata,4,3.45,51,C,0,0,45
P_armata,4,3.45,52,C,0,0,45
P_armata,4,3.45,53,C,0,0,45
P_armata,4,3.45,54,C,0,0,45
P_armata,4,3.45,55,C,0,0,45
P_armata,4,3.45,56,C,0,0,45
P_armata,4,3.45,57,C,0,0,45
P_armata,4,3.45,58,C,0,0,45
P_armata,4,3.45,59,C,0,0,45
P_armata,4,3.45,60,C,0,0,45
P_laevigata,1.843,1.3908,1,D,0,0,16
P_laevigata,1.843,1.3908,2,D,0,0,16
P_laevigata,1.843,1.3908,3,D,0,0,16
P_laevigata,1.843,1.3908,4,D,0,0,16
P_laevigata,1.843,1.3908,5,D,0,0,16
P_laevigata,1.843,1.3908,6,D,0,0,16
P_laevigata,1.843,1.3908,7,D,0,0,16
P_laevigata,1.843,1.3908,8,D,0,0,16
P_laevigata,1.843,1.3908,9,D,0,0,16
P_laevigata,1.843,1.3908,10,D,0,0,16
P_laevigata,1.843,1.3908,11,D,0,0,16
P_laevigata,1.843,1.3908,12,D,0,0,16
P_laevigata,1.843,1.3908,13,D,0,0,16
P_laevigata,1.843,1.3908,14,D,0,0,16
P_laevigata,1.843,1.3908,15,D,0,0,16
