Trial,Colony_ID,Time_Disc,Discovered,Col_Size
Discovery,A,7,1,54
Discovery,C,1,1,23
Discovery,E,9,1,48
Discovery,G,5,1,19
Discovery,I,60,0,34
Discovery,K,60,0,37
Discovery,M,10,1,43
Discovery,O,60,0,62
Discovery,Q,15,1,121
Discovery,S,60,0,66
Discovery,U,60,0,35
Discovery,W,6,1,67
Discovery,Y,5,1,167
Discovery,AA,26,1,59
Discovery,CC,60,0,12
Discovery,EE,30,1,11
Discovery,GG,1,1,181
Discovery,II,60,0,34
Discovery,KK,15,1,30
Discovery,MM,60,0,40
Discovery,OO,60,0,44
Discovery,QQ,9,1,63
Discovery,SS,60,0,36
Discovery,UU,60,0,40
Discovery,WW,1,1,108
Discovery,YY,1,1,54
Discovery,AAA,60,0,33
Discovery,CCC,60,0,42
Discovery,EEE,6,1,37
Discovery,GGG,7,1,51
Competition,A,1,1,53
Competition,C,1,1,21
Competition,E,6,1,47
Competition,G,4,1,19
Competition,I,60,0,34
Competition,K,60,0,37
Competition,M,60,0,42
Competition,O,53,1,62
Competition,Q,23,1,121
Competition,S,15,1,64
Competition,U,60,0,35
Competition,W,16,1,67
Competition,Y,8,1,151
Competition,AA,3,1,58
Competition,CC,60,0,12
Competition,EE,60,0,11
Competition,GG,2,1,161
Competition,II,60,0,34
Competition,KK,17,1,41
Competition,MM,60,0,46
Competition,OO,60,0,43
Competition,QQ,22,1,63
Competition,SS,60,0,36
Competition,UU,32,1,25
Competition,WW,14,1,110
Competition,YY,11,1,38
Competition,AAA,60,0,33
Competition,CCC,60,0,41
Competition,EEE,60,0,34
Competition,GGG,1,1,51
