Trial,Time_Bin,Col_ID,Workers,Presence,Col_Size
Discovery,1,A,0,0,54
Discovery,2,A,0,0,54
Discovery,3,A,0,0,54
Discovery,4,A,0,0,54
Discovery,5,A,0,0,54
Discovery,6,A,0,0,54
Discovery,7,A,1,1,54
Discovery,8,A,1,1,54
Discovery,9,A,1,1,54
Discovery,10,A,1,1,54
Discovery,11,A,1,1,54
Discovery,12,A,1,1,54
Discovery,13,A,1,1,54
Discovery,14,A,1,1,54
Discovery,15,A,1,1,54
Discovery,16,A,1,1,54
Discovery,17,A,0,0,54
Discovery,18,A,0,0,54
Discovery,19,A,0,0,54
Discovery,20,A,0,0,54
Discovery,21,A,2,1,54
Discovery,22,A,1,1,54
Discovery,23,A,1,1,54
Discovery,24,A,0,0,54
Discovery,25,A,1,1,54
Discovery,26,A,0,0,54
Discovery,27,A,2,1,54
Discovery,28,A,2,1,54
Discovery,29,A,1,1,54
Discovery,30,A,2,1,54
Discovery,31,A,4,1,54
Discovery,32,A,3,1,54
Discovery,33,A,2,1,54
Discovery,34,A,5,1,54
Discovery,35,A,6,1,54
Discovery,36,A,2,1,54
Discovery,37,A,4,1,54
Discovery,38,A,4,1,54
Discovery,39,A,7,1,54
Discovery,40,A,8,1,54
Discovery,41,A,4,1,54
Discovery,42,A,3,1,54
Discovery,43,A,6,1,54
Discovery,44,A,6,1,54
Discovery,45,A,6,1,54
Discovery,46,A,7,1,54
Discovery,47,A,9,1,54
Discovery,48,A,9,1,54
Discovery,49,A,9,1,54
Discovery,50,A,8,1,54
Discovery,51,A,7,1,54
Discovery,52,A,6,1,54
Discovery,53,A,7,1,54
Discovery,54,A,9,1,54
Discovery,55,A,8,1,54
Discovery,56,A,8,1,54
Discovery,57,A,8,1,54
Discovery,58,A,6,1,54
Discovery,59,A,5,1,54
Discovery,60,A,5,1,54
Discovery,1,C,1,1,23
Discovery,2,C,1,1,23
Discovery,3,C,0,0,23
Discovery,4,C,0,0,23
Discovery,5,C,0,0,23
Discovery,6,C,0,0,23
Discovery,7,C,0,0,23
Discovery,8,C,1,1,23
Discovery,9,C,1,1,23
Discovery,10,C,0,0,23
Discovery,11,C,2,1,23
Discovery,12,C,1,1,23
Discovery,13,C,0,0,23
Discovery,14,C,2,1,23
Discovery,15,C,2,1,23
Discovery,16,C,0,0,23
Discovery,17,C,1,1,23
Discovery,18,C,1,1,23
Discovery,19,C,1,1,23
Discovery,20,C,3,1,23
Discovery,21,C,2,1,23
Discovery,22,C,1,1,23
Discovery,23,C,4,1,23
Discovery,24,C,1,1,23
Discovery,25,C,1,1,23
Discovery,26,C,5,1,23
Discovery,27,C,3,1,23
Discovery,28,C,3,1,23
Discovery,29,C,1,1,23
Discovery,30,C,2,1,23
Discovery,31,C,2,1,23
Discovery,32,C,2,1,23
