Species,Time_Bin,Col_ID,Workers,Presence,Col_Size,Workers_Comp,Presence_Comp,Col_Size_Comp
P_flavicornis,1,A,0,0,54,3,1,53
P_flavicornis,2,A,0,0,54,3,1,53
P_flavicornis,3,A,0,0,54,3,1,53
P_flavicornis,4,A,0,0,54,5,1,53
P_flavicornis,5,A,0,0,54,4,1,53
P_flavicornis,6,A,0,0,54,4,1,53
P_flavicornis,7,A,1,1,54,4,1,53
P_flavicornis,8,A,1,1,54,4,1,53
P_flavicornis,9,A,1,1,54,2,1,53
P_flavicornis,10,A,1,1,54,2,1,53
P_flavicornis,11,A,1,1,54,3,1,53
P_flavicornis,12,A,1,1,54,2,1,53
P_flavicornis,13,A,1,1,54,2,1,53
P_flavicornis,14,A,1,1,54,1,1,53
P_flavicornis,15,A,1,1,54,2,1,53
P_flavicornis,16,A,1,1,54,1,1,53
P_flavicornis,17,A,0,0,54,2,1,53
P_flavicornis,18,A,0,0,54,2,1,53
P_flavicornis,19,A,0,0,54,0,0,53
P_flavicornis,20,A,0,0,54,2,1,53
P_flavicornis,21,A,2,1,54,2,1,53
P_flavicornis,22,A,1,1,54,3,1,53
P_flavicornis,23,A,1,1,54,1,1,53
P_flavicornis,24,A,0,0,54,3,1,53
P_flavicornis,25,A,1,1,54,3,1,53
P_flavicornis,26,A,0,0,54,2,1,53
P_flavicornis,27,A,2,1,54,2,1,53
P_flavicornis,28,A,2,1,54,3,1,53
P_flavicornis,29,A,1,1,54,3,1,53
P_flavicornis,30,A,2,1,54,3,1,53
P_flavicornis,31,A,4,1,54,4,1,53
P_flavicornis,32,A,3,1,54,3,1,53
P_flavicornis,33,A,2,1,54,2,1,53
P_flavicornis,34,A,5,1,54,3,1,53
P_flavicornis,35,A,6,1,54,4,1,53
P_flavicornis,36,A,2,1,54,4,1,53
P_flavicornis,37,A,4,1,54,5,1,53
P_flavicornis,38,A,4,1,54,4,1,53
P_flavicornis,39,A,7,1,54,4,1,53
P_flavicornis,40,A,8,1,54,3,1,53
P_flavicornis,41,A,4,1,54,3,1,53
P_flavicornis,42,A,3,1,54,5,1,53
P_flavicornis,43,A,6,1,54,3,1,53
P_flavicornis,44,A,6,1,54,4,1,53
P_flavicornis,45,A,6,1,54,4,1,53
P_flavicornis,46,A,7,1,54,3,1,53
P_flavicornis,47,A,9,1,54,2,1,53
P_flavicornis,48,A,9,1,54,4,1,53
P_flavicornis,49,A,9,1,54,5,1,53
P_flavicornis,50,A,8,1,54,4,1,53
P_flavicornis,51,A,7,1,54,5,1,53
P_flavicornis,52,A,6,1,54,4,1,53
P_flavicornis,53,A,7,1,54,5,1,53
P_flavicornis,54,A,9,1,54,4,1,53
P_flavicornis,55,A,8,1,54,4,1,53
P_flavicornis,56,A,8,1,54,5,1,53
P_flavicornis,57,A,8,1,54,5,1,53
P_flavicornis,58,A,6,1,54,3,1,53
P_flavicornis,59,A,5,1,54,4,1,53
P_flavicornis,60,A,5,1,54,4,1,53
P_laevigata,1,B,0,0,126,3,1,126
P_laevigata,2,B,0,0,126,3,1,126
P_laevigata,3,B,0,0,126,3,1,126
P_laevigata,4,B,2,1,126,4,1,126
P_laevigata,5,B,3,1,126,4,1,126
P_laevigata,6,B,1,1,126,4,1,126
P_laevigata,7,B,1,1,126,5,1,126
P_laevigata,8,B,1,1,126,4,1,126
P_laevigata,9,B,1,1,126,8,1,126
P_laevigata,10,B,3,1,126,7,1,126
P_laevigata,11,B,4,1,126,5,1,126
P_laevigata,12,B,4,1,126,6,1,126
P_laevigata,13,B,6,1,126,7,1,126
P_laevigata,14,B,4,1,126,5,1,126
P_laevigata,15,B,4,1,126,7,1,126
P_laevigata,16,B,3,1,126,10,1,126
P_laevigata,17,B,6,1,126,8,1,126
P_laevigata,18,B,10,1,126,6,1,126
P_laevigata,19,B,10,1,126,10,1,126
P_laevigata,20,B,5,1,126,8,1,126
P_laevigata,21,B,4,1,126,10,1,126
P_laevigata,22,B,2,1,126,10,1,126
P_laevigata,23,B,7,1,126,12,1,126
P_laevigata,24,B,8,1,126,9,1,126
P_laevigata,25,B,5,1,126,11,1,126
P_laevigata,26,B,5,1,126,11,1,126
P_laevigata,27,B,7,1,126,11,1,126
P_laevigata,28,B,5,1,126,14,1,126
P_laevigata,29,B,11,1,126,13,1,126
P_laevigata,30,B,9,1,126,10,1,126
P_laevigata,31,B,6,1,126,16,1,126
P_laevigata,32,B,7,1,126,14,1,126
P_laevigata,33,B,5,1,126,14,1,126
P_laevigata,34,B,7,1,126,16,1,126
P_laevigata,35,B,8,1,126,17,1,126
P_laevigata,36,B,7,1,126,16,1,126
P_laevigata,37,B,8,1,126,16,1,126
P_laevigata,38,B,6,1,126,13,1,126
P_laevigata,39,B,5,1,126,14,1,126
P_laevigata,40,B,6,1,126,15,1,126
P_laevigata,41,B,5,1,126,16,1,126
P_laevigata,42,B,6,1,126,15,1,126
P_laevigata,43,B,8,1,126,15,1,126
P_laevigata,44,B,8,1,126,16,1,126
P_laevigata,45,B,9,1,126,16,1,126
P_laevigata,46,B,13,1,126,15,1,126
P_laevigata,47,B,13,1,126,12,1,126
P_laevigata,48,B,11,1,126,13,1,126
P_laevigata,49,B,11,1,126,14,1,126
P_laevigata,50,B,11,1,126,16,1,126
P_laevigata,51,B,11,1,126,15,1,126
P_laevigata,52,B,12,1,126,17,1,126
P_laevigata,53,B,13,1,126,17,1,126
P_laevigata,54,B,11,1,126,14,1,126
P_laevigata,55,B,10,1,126,17,1,126
P_laevigata,56,B,9,1,126,14,1,126
P_laevigata,57,B,9,1,126,11,1,126
P_laevigata,58,B,11,1,126,12,1,126
P_laevigata,59,B,11,1,126,10,1,126
P_laevigata,60,B,12,1,126,9,1,126
P_flavicornis,1,C,1,1,23,1,1,21
P_flavicornis,2,C,1,1,23,1,1,21
P_flavicornis,3,C,0,0,23,0,0,21
P_flavicornis,4,C,0,0,23,0,0,21
P_flavicornis,5,C,0,0,23,0,0,21
P_flavicornis,6,C,0,0,23,1,1,21
P_flavicornis,7,C,0,0,23,1,1,21
P_flavicornis,8,C,1,1,23,0,0,21
P_flavicornis,9,C,1,1,23,1,1,21
P_flavicornis,10,C,0,0,23,1,1,21
P_flavicornis,11,C,2,1,23,2,1,21
P_flavicornis,12,C,1,1,23,0,0,21
P_flavicornis,13,C,0,0,23,0,0,21
P_flavicornis,14,C,2,1,23,1,1,21
P_flavicornis,15,C,2,1,23,1,1,21
P_flavicornis,16,C,0,0,23,2,1,21
P_flavicornis,17,C,1,1,23,0,0,21
P_flavicornis,18,C,1,1,23,1,1,21
P_flavicornis,19,C,1,1,23,2,1,21
P_flavicornis,20,C,3,1,23,3,1,21
P_flavicornis,21,C,2,1,23,2,1,21
P_flavicornis,22,C,1,1,23,0,0,21
P_flavicornis,23,C,4,1,23,2,1,21
P_flavicornis,24,C,1,1,23,1,1,21
P_flavicornis,25,C,1,1,23,2,1,21
P_flavicornis,26,C,5,1,23,2,1,21
P_flavicornis,27,C,3,1,23,3,1,21
P_flavicornis,28,C,3,1,23,2,1,21
P_flavicornis,29,C,1,1,23,1,1,21
P_flavicornis,30,C,2,1,23,2,1,21
P_flavicornis,31,C,2,1,23,2,1,21
P_flavicornis,32,C,2,1,23,1,1,21
P_flavicornis,33,C,3,1,23,3,1,21
P_flavicornis,34,C,0,0,23,2,1,21
P_flavicornis,35,C,1,1,23,2,1,21
P_flavicornis,36,C,3,1,23,3,1,21
